isbn,original_title,author,original_publication_year,num_pages,genres,image_url,avg_rating,similar_books
1416534601,Nocturnes,John Connolly,2004,,"fiction, fantasy, paranormal, mystery, thriller, crime, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
,Draw Play,Tia Lewis,2016,,"romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,
1416505520,Citizen of the Galaxy,Robert A. Heinlein,1957,,"fiction, young-adult, fantasy, paranormal, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
60541830,Congo,Michael Crichton,1980,,"fiction, mystery, thriller, crime, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,
451528824,Anne of Green Gables,L.M. Montgomery,1908,,"fiction, young-adult, children, history, historical fiction, biography, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,
425210138,High Stakes,Erin McCarthy,2006,,"fantasy, paranormal, romance, fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,
1595540547,When Crickets Cry,Charles Martin,2006,,"fiction, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,
765316315,The Ice Dragon,George R.R. Martin,1980,,"fantasy, paranormal, children, young-adult, fiction, comics, graphic",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
1416509909,On a Highland Shore,Kathleen Givens,2006,,"fiction, history, historical fiction, biography, romance, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
842329218,Tribulation Force: The Continuing Drama of Those Left Behind,Tim LaHaye,1996,,"fiction, fantasy, paranormal, mystery, thriller, crime, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
786711647,A Kiss Before Dying,Ira Levin,1953,,"mystery, thriller, crime, fiction, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
425100650,Twilight Eyes,Dean Koontz,1984,,"fiction, mystery, thriller, crime, fantasy, paranormal, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
981563619,"The Warrior's Path (When Women Were Warriors, Book 1)",Catherine M. Wilson,2008,,"fantasy, paranormal, fiction, history, historical fiction, biography, romance, young-adult, non-fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
99465582,Regency Buck,Georgette Heyer,1935,,"romance, fiction, history, historical fiction, biography, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
,Redneck,Jordan Silver,2016,,romance,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,
345491599,Command Decision,Elizabeth Moon,2007,,"fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
1595540857,"Hood (King Raven, Book 1)",Stephen R. Lawhead,2006,,"fantasy, paranormal, fiction, history, historical fiction, biography, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
553589938,Shadow Man,Cody McFadyen,2006,,"mystery, thriller, crime, fiction, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
671578855,A Civil Campaign,Lois McMaster Bujold,1999,,"fiction, romance, fantasy, paranormal, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.4,
080075963X,"Child Of The Mist (These Highland Hills, #1)",Kathleen  Morgan,1992,,"romance, fiction, history, historical fiction, biography, fantasy, paranormal, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
,Bjornstad,Fredrik Backman,2017,,"fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.3,
,Homo Deus: The History of Tomorrow,Yuval Noah Harari,2015,,"non-fiction, history, historical fiction, biography, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.3,
,We Are Legion (We Are Bob),Dennis E. Taylor,2016,,"fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.3,
,Venom & Vanilla,Shannon Mayer,2016,,"fantasy, paranormal, romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,
044023784X,Before We Were Free,Julia Alvarez,2002,,"fiction, history, historical fiction, biography, young-adult, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
,Devil's Own,Megan Crane,2017,,"romance, fiction, mystery, thriller, crime, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
,Into the Black (Odyssey One #1),Evan Currie,2011,,"fiction, fantasy, paranormal, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
743243315,Brick Lane,Monica Ali,2003,,"fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.4,
,Just Juliet,Charlotte Reagan,2016,,"young-adult, romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
767903382,Tender at the Bone: Growing Up at the Table,Ruth Reichl,1998,,"non-fiction, history, historical fiction, biography, comics, graphic, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
812589165,"Dragon (Vlad Taltos, #8)",Steven Brust,1998,,"fantasy, paranormal, fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,
1430300612,My Stroke of Insight,Jill Bolte Taylor,2006,,"non-fiction, history, historical fiction, biography, comics, graphic",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
1594488258,Battleborn,Claire Vaye Watkins,2012,,"fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
765309963,Blade of Fortriu,Juliet Marillier,2005,,"fiction, history, historical fiction, biography, romance, fantasy, paranormal, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
385340567,Nothing to Lose,Lee Child,2008,,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
159182799X,deienuenzieru 1,Yukiru Sugisaki,1997,,"fantasy, paranormal, romance, comics, graphic, young-adult, fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
1849163847,The Blackhouse,Peter  May,2009,,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
,Faking It,Riley Hart,2017,,"romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
441015131,Galactic North,Alastair Reynolds,2006,,"fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
60929596,As Nature Made Him: The Boy Who Was Raised as a Girl,John Colapinto,2000,,"non-fiction, history, historical fiction, biography, comics, graphic, fiction, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
074326603X,Imperium,Robert   Harris,2006,,"fiction, history, historical fiction, biography, mystery, thriller, crime, non-fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
312376537,Picking Cotton: Our Memoir of Injustice and Redemption,Jennifer Thompson-Cannino,2009,,"non-fiction, mystery, thriller, crime, history, historical fiction, biography, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
553582747,From the Corner of His Eye,Dean Koontz,2000,,"fiction, mystery, thriller, crime, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
689845243,The Report Card,Andrew Clements,2004,,"fiction, children, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
1594561907,Ligeia,Edgar Allan Poe,1838,,"fiction, romance, fantasy, paranormal, mystery, thriller, crime, poetry, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
1401303277,For One More Day,Mitch Albom,2006,,"fiction, non-fiction, fantasy, paranormal, history, historical fiction, biography, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
,Fimbulwinter,E. William Brown,2014,,"fantasy, paranormal, romance, fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
449223604,"""M"" is for Malice",Sue Grafton,1996,,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
1421514044,Ying Lan Gao Xiao hosutoBu  9,Bisco Hatori,2006,,"romance, comics, graphic, young-adult, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.5,
800732405,"The Pawn (The Patrick Bowers Files, Book 1)",Steven James,2007,,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
743269772,"Without You: A Memoir of Love, Loss, and the Musical Rent",Anthony Rapp,2006,,"non-fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
159017125X,D'Aulaires' Norse Gods and Giants,Ingri d'Aulaire,1967,,"children, fantasy, paranormal, fiction, non-fiction, history, historical fiction, biography, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.4,
,Under Construction,Aria Cole,,,romance,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
765318431,"Pride and Prescience: Or, A Truth Universally Acknowledged",Carrie Bebris,2004,,"mystery, thriller, crime, fiction, history, historical fiction, biography, romance, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.5,
60837640,Jinx,Meg Cabot,2007,,"young-adult, fantasy, paranormal, romance, fiction, mystery, thriller, crime, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,
,"Taking What's Wicked (Forced Submission, #5)",Alexa Riley,2015,,"romance, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,
1934506907,Irredeemable (Volume 1),Mark Waid,2009,,"comics, graphic, fiction, fantasy, paranormal, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
1608860000,Irredeemable Vol 2,Mark Waid,2010,,"comics, graphic, fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
,Tru Blue,Melissa Foster,2016,,"romance, fiction, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
,AlterWorld,D. Rus,2014,,"fantasy, paranormal, fiction, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,
345480147,Into the Storm (Troubleshooters #10),Suzanne Brockmann,2006,,"romance, fiction, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,
60753633,Mating in Captivity: Reconciling the Erotic and the Domestic,Esther Perel,2006,,"non-fiction, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
,The Weight of It All,N.R. Walker,2016,,"romance, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.4,
385733143,Small Steps,Louis Sachar,2006,,"young-adult, fiction, children, romance, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,
61228141,Service Included: Four-Star Secrets of an Eavesdropping Waiter,Phoebe Damrosch,2007,,"non-fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.4,
375508325,Cosmos,Carl Sagan,1980,,"non-fiction, history, historical fiction, biography, fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.4,
,Finding Me,Stephanie    Rose,2016,,"romance, fiction, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,
1582433542,Jesus Land : A Memoir,Julia Scheeres,2005,,"non-fiction, history, historical fiction, biography, fiction, comics, graphic, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
451462076,"Into the Storm (Destroyermen, #1)",Taylor Anderson,2008,,"fiction, history, historical fiction, biography, fantasy, paranormal, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
